Ticker,SMA_50,SMA_200,Signal,Last_Crossover_Date
APOLLOHOSP,7056.82,6565.78,Golden Cross,2023-10-23
AXISBANK,1143.2,1160.5,Death Cross,2024-12-12
CIPLA,1486.84,1493.14,Death Cross,2024-12-24
DIVISLAB,5902.24,4851.42,Golden Cross,2024-05-16
DRREDDY,1264.83,1268.54,Death Cross,2024-12-13
HCLTECH,1793.46,1560.2,Golden Cross,2024-07-22
HDFCBANK,877.13,805.41,Golden Cross,2024-06-19
ICICIBANK,1283.17,1189.13,Golden Cross,2023-10-23
INFY,1824.44,1650.15,Golden Cross,2024-07-12
KOTAKBANK,351.79,353.39,Death Cross,2024-12-26
NIFTY50,24175.07,23873.4,Golden Cross,2023-10-23
SBIN,811.96,795.25,Golden Cross,2023-10-23
SUNPHARMA,1789.58,1662.53,Golden Cross,2023-10-23
TCS,3988.15,3898.83,Golden Cross,2023-10-23
TECHM,1666.05,1441.97,Golden Cross,2023-10-23
WIPRO,272.5,244.27,Golden Cross,2023-10-23
